,C0 Pred,C1 Pred,C2 Pred,C3 Pred,C4 Pred,C5 Pred
C0 True,0.8806972405332045,0.06718294101568212,0.03766138208539663,0.010157297871123174,0.004019057547691545,0.0002820809469020361
C1 True,0.07123042444450518,0.9245948235808576,0.004174751974637186,0.0,0.0,0.0
C2 True,0.01110319585349677,0.15076928115813865,0.7730722935960107,0.05364088203263816,0.011258771606606238,0.00015557575310946802
C3 True,0.007260772155192658,0.07441656776191775,0.1359173389016178,0.7824053211812718,0.0,0.0
C4 True,0.003984417627875696,0.023011915185199284,0.11795906455010342,0.10299846460339818,0.7520461380334235,0.0
C5 True,0.004910035478966041,0.020058286872782563,0.076431829700963,0.06263938165230613,0.12705271160669032,0.7089077546882919
