,C0 Pred,C1 Pred,C2 Pred,C3 Pred,C4 Pred,C5 Pred
C0 True,0.8748474379104079,0.06758818406616109,0.04061568338281007,0.012770718249604292,0.0038958954441145996,0.0002820809469020361
C1 True,0.05563147394025527,0.9340853808521686,0.010283145207576047,0.0,0.0,0.0
C2 True,0.01110319585349677,0.1283172435251828,0.7955243312289666,0.05364088203263816,0.011258771606606238,0.00015557575310946802
C3 True,0.00485532403734474,0.05445579116394494,0.16619805913975083,0.7744908256589595,0.0,0.0
C4 True,0.003984417627875696,0.020055325034578148,0.1105739337876077,0.12110599312243836,0.7442803304275001,0.0
C5 True,0.003566903193106944,0.018239989863152558,0.06580081094779523,0.076431829700963,0.12705271160669032,0.7089077546882919
