,C0 Pred,C1 Pred,C2 Pred,C3 Pred,C4 Pred,C5 Pred
C0 True,0.5706195610025872,0.13138376993636888,0.10966035864804562,0.08018806455919092,0.052122996827979884,0.05602524902582749
C1 True,0.4318579354450791,0.1398371095137883,0.1321777036814343,0.11042253136188472,0.0795935937030255,0.10611112629478806
C2 True,0.29853349382200495,0.130880149352723,0.13960057972438528,0.13266517641471584,0.10819884218886897,0.19012175849730198
C3 True,0.19006848228282738,0.10896235695834576,0.13096681243216826,0.14106461706408394,0.1319949986989001,0.29694273256367454
C4 True,0.1072493560216732,0.07995482634791326,0.11006636466303754,0.1312319971576129,0.13961323232707754,0.43188422348268557
C5 True,0.05529016725798277,0.053110745058286876,0.08049923973644196,0.11088443993917892,0.13186771414090218,0.5683476938672073
