,C0 Pred,C1 Pred,C2 Pred,C3 Pred,C4 Pred,C5 Pred
C0 True,0.8979470863819264,0.05290805591400584,0.029697958846376334,0.015298322452689861,0.003499392930018498,0.0006491834749829957
C1 True,0.08003771625351881,0.9127333351553746,0.007228948591106617,0.0,0.0,0.0
C2 True,0.019610733089325046,0.06697945581239202,0.8456197237302153,0.06139510509551532,0.003226149827638442,0.003168832444913901
C3 True,0.016812749509707476,0.04769641848450422,0.15540845016787364,0.7800823818379147,0.0,0.0
C4 True,0.00914258885631987,0.024693237910337913,0.06694202291674597,0.1584630806908016,0.7407590696257946,0.0
C5 True,0.00496705524581855,0.023118347693867208,0.04486188545362392,0.09604662949822605,0.08771540800810948,0.7432906741003548
