,coef,std err,t,P>|t|,[0.025,0.975]
const,0.3012,0.087,3.445,0.001,0.13,0.473
x1,-0.2232,0.125,-1.791,0.07400000000000001,-0.46799999999999997,0.021
x2,0.5207,0.263,1.98,0.048,0.005,1.036
