,coef,std err,t,P>|t|,[0.025,0.975]
const,0.3427,0.091,3.7560000000000002,0.0,0.16399999999999998,0.522
PG_0,-0.2035,0.122,-1.669,0.095,-0.44299999999999995,0.036000000000000004
