,coef,std err,t,P>|t|,[0.025,0.975]
const,0.2646,0.073,3.6039999999999996,0.0,0.121,0.409
PG_1,-0.1437,0.138,-1.044,0.297,-0.414,0.126
PG_2,0.0659,0.287,0.22899999999999998,0.8190000000000001,-0.498,0.629
