,coef,std err,t,P>|t|,[0.025,0.975]
const,0.1139,0.08199999999999999,1.392,0.16399999999999998,-0.047,0.27399999999999997
CC_TOBACCO,0.3179,0.131,2.428,0.015,0.061,0.575
ACUTE2,0.5837,0.303,1.926,0.054000000000000006,-0.011000000000000001,1.178
PG_1,0.1451,0.127,1.141,0.254,-0.10400000000000001,0.395
PG_2,0.3179,0.131,2.428,0.015,0.061,0.575
