,coef,std err,t,P>|t|,[0.025,0.975]
const,0.1523,0.107,1.419,0.156,-0.057999999999999996,0.363
PG_0,0.1124,0.13,0.8640000000000001,0.38799999999999996,-0.14300000000000002,0.36700000000000005
