,coef,std err,t,P>|t|,[0.025,0.975]
const,0.2522,0.076,3.303,0.001,0.102,0.402
PG_1,-0.0842,0.131,-0.6409999999999999,0.521,-0.342,0.17300000000000001
PG_2,0.0783,0.28800000000000003,0.272,0.7859999999999999,-0.48700000000000004,0.643
