,coef,std err,t,P>|t|,[0.025,0.975]
const,0.0779,0.08900000000000001,0.877,0.381,-0.096,0.252
x1,0.2232,0.125,1.791,0.07400000000000001,-0.021,0.46799999999999997
x2,0.7439,0.263,2.824,0.005,0.22699999999999998,1.261
