,coef,std err,t,P>|t|,[0.025,0.975]
const,0.1391,0.081,1.7209999999999999,0.086,-0.019,0.298
PG_1,0.1289,0.127,1.015,0.31,-0.12,0.37799999999999995
PG_2,0.6827,0.261,2.615,0.009000000000000001,0.171,1.195
