,coef,std err,t,P>|t|,[0.025,0.975]
const,0.3229,0.092,3.5210000000000004,0.0,0.14300000000000002,0.503
PG_0,-0.1669,0.122,-1.367,0.172,-0.40700000000000003,0.073
