,coef,std err,t,P>|t|,[0.025,0.975]
const,0.156,0.081,1.936,0.053,-0.002,0.314
PG_1,0.0883,0.127,0.6940000000000001,0.488,-0.161,0.33799999999999997
PG_2,0.6658,0.261,2.551,0.011000000000000001,0.154,1.178
