,C0 Pred,C1 Pred,C2 Pred,C3 Pred,C4 Pred,C5 Pred
C0 True,0.8952279849726342,0.09240415604559064,0.010135049233057662,0.0017926045527070235,0.00035756739748145415,8.263779852904718e-05
C1 True,0.09040285331657055,0.8647066058104895,0.0433736915466397,0.0014416901254475389,6.832654622974118e-05,6.832654622974118e-06
C2 True,0.012372366470968746,0.0937794263348809,0.8111228475275738,0.07551155764081653,0.006517805235533502,0.0006959967902265674
C3 True,0.001999251074200776,0.013772618511160899,0.10359928661644209,0.8391396238869249,0.03896952887489766,0.002519691036373676
C4 True,0.000735975230626721,0.0033055439237631174,0.015442790615046886,0.10339183067494004,0.8307954877104826,0.04632837184514066
C5 True,0.0005195134313228586,0.0015838824125696909,0.005480233147491131,0.02146477445514445,0.11702990369994931,0.8539216928535226
