,C0 Pred,C1 Pred,C2 Pred,C3 Pred,C4 Pred,C5 Pred
C0 True,0.8394212493563786,0.09808232631759613,0.04464268687266787,0.012893880353181238,0.004304316871460083,0.0006555402287159993
C1 True,0.0607969608352237,0.9157465358441061,0.023456503320670147,0.0,0.0,0.0
C2 True,0.006132959951525871,0.12971742530316802,0.788998337795901,0.06946866786214351,0.005494280544023844,0.00018832854323777706
C3 True,0.003750975824929074,0.0494544900640395,0.1644082534161806,0.7726312048185124,0.009755075876338387,0.0
C4 True,0.0019795195858235944,0.02015049424543505,0.09728831195198397,0.1363013437892573,0.7344461786389533,0.009834151788546703
C5 True,0.002806639635073492,0.015401672579827674,0.07922579827673594,0.059756715661429295,0.11680816016218956,0.726001013684744
