,C0 Pred,C1 Pred,C2 Pred,C3 Pred,C4 Pred,C5 Pred
C0 True,0.8731334981851469,0.0708849554709401,0.03944842447858728,0.012231983370732235,0.0038521927622001996,0.00044894573239338137
C1 True,0.07323922490365957,0.9097474650851349,0.017013310011205554,0.0,0.0,0.0
C2 True,0.009072522865541608,0.13090471394531922,0.7949675337967853,0.05937262030509224,0.005527033334152153,0.00015557575310946802
C3 True,0.011246580645980235,0.0548048667483292,0.176994014940435,0.7569545376652556,0.0,0.0
C4 True,0.0028550763257071073,0.02603195147639169,0.10540307333104927,0.11366376083342851,0.7520461380334235,0.0
C5 True,0.00553091738469336,0.02028003041054232,0.06653573238722757,0.07638748099341106,0.1142612772427775,0.7170045615813482
