,C0 Pred,C1 Pred,C2 Pred,C3 Pred,C4 Pred,C5 Pred
C0 True,0.38990978685556366,0.4412264540516502,0.10573838188113466,0.04884692354118357,0.011626060163273085,0.002652393507194816
C1 True,0.0487259419896991,0.5155868799132556,0.43568717809704527,0.0,0.0,0.0
C2 True,0.008077017214652852,0.1178102308884719,0.460553153300155,0.35604144570449536,0.04625928041119361,0.011258872481031247
C3 True,0.00803161652218256,0.02307496175420704,0.11225140234574196,0.48094084650688423,0.3757011728709842,0.0
C4 True,0.004940014114326041,0.02360941810483095,0.09116571501892602,0.2341053441970873,0.5889523320715981,0.05722717649323154
C5 True,0.006270585254623765,0.012984545224220927,0.06340258424119584,0.11933113757284013,0.20711933113757283,0.5908918165695465
