,test_statistic,p,-log2(p),C,RMST-6-Months,RMST-12-Months,RMST-18-Months,RMST-24-Months,Size,Weight
0,0.754568311482731,0.3850337194401572,1.3769432991086485,0,0.1263157894736855,0.33726375750844717,0.784442216669385,1.1846024987163766,38,0.02785923753665689
1,2.9004011731808306,0.08855751025558209,3.4972415276419015,1,0.05581395348837059,0.24476507001504366,0.9043556717553454,1.8411184382142665,43,0.03152492668621701
2,0.9096388706968259,0.34021025510104475,1.555501465466214,2,0.022222222222224808,0.11623108031919926,0.4312921391999822,0.9604110070469645,27,0.019794721407624633
3,0.3638745298461865,0.5463622554179031,0.8720702741479027,3,-0.023008849557522026,-0.051762651205622845,0.05117970038598152,0.10153106547039314,113,0.08284457478005865
4,0.4928006785068172,0.48268063880211554,1.0508591360650166,4,0.08571428571428363,-0.07703989564456393,-0.3261936144336577,-0.49612603898226837,56,0.04105571847507331
5,0.21638815721701934,0.6418058503809438,0.6397911543216992,5,0.06249999999999911,-0.07504826254825758,-0.1939503530786375,-0.17913786525010877,16,0.011730205278592375
6,1.1272269143394624,0.28836761690982504,1.7940189328978273,6,-0.005243445692884485,0.037474112043376806,0.11255585644422261,0.2978892844037553,267,0.19574780058651026
7,0.11523025743753254,0.7342663696958711,0.44562457061125715,7,-0.04285714285714004,0.07101757870333536,0.32902297656970525,0.4659025836320687,14,0.010263929618768328
8,2.310124449714254,0.12853375875935324,2.9597807689447406,8,0.0019801980198046465,0.18115303035656538,0.3404134451890357,0.57768079662387,101,0.07404692082111437
9,1.386600342572132,0.23898006036923497,2.06503784490932,9,-0.05846153846153612,0.12290168875832563,0.30755723520068656,0.5989581026516468,65,0.047653958944281524
10,4.12898873052383,0.04215453453198094,4.568168360625568,10,-0.003738317757010279,0.08992545125890494,0.34475277515868186,0.6419404337482568,214,0.15689149560117302
11,0.5416831438592212,0.4617360129820933,1.1148598354814925,11,0.02295081967213175,0.10512023281538951,0.31634650896323,0.5195001080509591,61,0.04472140762463343
12,0.020396303397418058,0.8864357948088459,0.17391195543330437,12,0.007843137254900157,0.0809352370419898,0.21484383813338326,0.17430903721373525,51,0.0373900293255132
13,0.06480304464369908,0.7990595416143174,0.3236250858627644,13,0.10555555555555607,0.05235669986411473,-0.0036943732042846733,-0.19170863973923957,36,0.026392961876832845
14,0.0014208065291092112,0.9699319888994313,0.04404450502828821,14,0.062385321100917324,0.14832170055116833,0.2818078774007944,0.20915784370022195,109,0.07991202346041056
15,0.0063280093503264015,0.9365961289278322,0.09450101968207424,15,-0.06545454545454366,-0.12265394952819442,-0.26697597559599195,-0.26585172823988756,55,0.04032258064516129
16,0.5497659136374837,0.4584133574612338,1.1252790122621819,16,0.0,0.12573492124472097,0.24824016230672896,0.46866337395920965,28,0.020527859237536656
17,0.09212127348261638,0.7614975205451535,0.39308875561804457,17,0.03333333333333144,0.1565747209872015,0.6459067536586147,1.0004991992120473,24,0.017595307917888565
18,0.7314561974293603,0.3924115850980252,1.3495604602702005,18,0.10400000000000187,0.10944802867384062,0.4791724020426802,1.2791344884029314,25,0.018328445747800588
19,0.03389367895448741,0.8539331551198752,0.2278049530877851,19,-0.03809523809524151,0.023511152730758766,-0.3024339397783482,-1.0553403468767506,21,0.015395894428152493
