,C0 Pred,C1 Pred,C2 Pred
C0 True,0.5280222888032371,0.0557640171456949,0.416213694051068
C1 True,0.47245301125330813,0.0565304424102022,0.47101654633648965
C2 True,0.4158967957969401,0.055657238186395265,0.5284459660166646
