,Treated,Treated,Treated,Matched Controls,Matched Controls,Matched Controls,Test-TC,Test-TC,General Population,General Population,General Population,Test-TG,Test-TG,Random,Random,Random,Test-TR,Test-TR
,mean,std,count,mean,std,count,t-stat,pval,mean,std,count,t-stat,pval,mean,std,count,t-stat,pval
AGE_AT_MIDMONTH,50.73811265544989,12.48402329875094,1367,49.71119239209949,16.575030026982656,6835,2.170809633644472,0.02997415915415489,44.310975575543,20.053585413347044,356446,11.840960076103146,2.4305477005855748e-32,47.606399187404776,19.811818943217997,7876,5.652740927431429,1.6259839405384638e-08
ALLOW_AMT,712.0702267739575,2240.844303216503,1367,634.7758595464521,2644.5741401196387,6835,1.0104965806235433,0.3122872526384795,1065.9260224550142,6933.418649919104,356446,-1.8865817750283247,0.0592174089165238,648.8026917216862,3166.090228384347,7876,0.708646071514157,0.4785620139317833
MBR_GNDR,0.2121433796634967,0.4089754544299665,1367,0.2204828090709583,0.4146025678277345,6835,-0.6804174355408883,0.4962593944733208,0.4427486912463599,0.4967121699947672,356446,-17.1429175412357,7.544162165655428e-66,0.43105637379380396,0.4952554076972182,7876,-15.45363177031528,3.2918041453260513e-53
CC_TOBACCO,0.061448427212874905,0.24023891858830684,1367,0.06188734455010973,0.24096845539663467,6835,-0.06150847891314128,0.9509557610367501,0.07420198290905214,0.2620996783037681,356446,-1.7961823630655385,0.0724663620062588,0.0984002031488065,0.29787391442767636,7876,-4.347638283918629,1.390854500374693e-05
CC_PRESSURE,0.001463057790782736,0.03823593516872915,1367,0.004828090709583029,0.06932159345877732,6835,-1.7424681471334686,0.08146404931515448,0.007389618623858873,0.085644805672596,356446,-2.5575231273137153,0.01054246321407514,0.006602336211274758,0.08099122313178568,7876,-2.301930543555396,0.021361217676404424
CC_OBESITY,0.49890270665691294,0.5001817781280046,1367,0.4967081199707388,0.5000257430743942,6835,0.1481260466096189,0.8822469360710894,0.10884117089264574,0.31144027120531087,356446,46.07932510432959,0.0,0.22803453529710513,0.4195916343691311,7876,21.377223854582606,5.296177975216882e-99
CC_HYPERTENSION,0.3423555230431602,0.4746715094522235,1367,0.3185076810534016,0.46593164737059095,6835,1.722086691000683,0.0850915259050885,0.2077172979918417,0.40567386384542287,356446,12.238795068334985,1.9596205895235666e-34,0.2493651599796851,0.432673024503863,7876,7.227219330954128,5.320843790672734e-13
CC_HYPOTHYROID,0.10095098756400878,0.30137406616541623,1367,0.08134601316752012,0.2733857607304335,6835,2.3781243969013857,0.017423731906676513,0.047300292330395066,0.21228071297038403,356446,9.308455847615443,1.3040199581723611e-20,0.06348400203148806,0.24384694626824827,7876,5.050777004183618,4.484259238542058e-07
CC_DX_CNT,2.912216532553036,2.2613737231155824,1367,2.663643013899049,2.2032950584448385,6835,3.790986005632424,0.00015112649955336543,1.8244194071472257,2.4122736286005,356446,16.64465910639427,3.491966565833825e-62,2.3437023869984763,2.439687662507202,7876,8.037223163514788,1.0318191452935257e-15
ACUTE2,0.03950256035113387,0.20934755675096364,1367,0.02355523043160205,0.15358729075814795,6835,3.2780777013547677,0.0010495181748538967,0.06325782867531127,0.24342646123420128,356446,-3.6029745937934683,0.0003146389046013947,0.05154900964956831,0.23773297067041624,7876,-1.7588555135695416,0.07863514577445425
ACUTE6,0.11558156547183614,0.4224121216061768,1367,0.07724945135332846,0.31058119771710907,6835,3.8988038382602244,9.743986181345021e-05,0.06325782867531127,0.24342646123420128,356446,7.901747516412364,2.7579400000024127e-15,0.15337734890807517,0.4757910922815621,7876,-2.754638661191299,0.00588719597801096
IP_BIN6,0.029992684711046085,0.20564917020401074,1367,0.024286759326993416,0.17528287182539648,6835,1.0657886111345638,0.28655058991180293,0.020586568512481553,0.14199583893771575,356446,2.4393823153700613,0.01471287623516777,0.04685119349923819,0.26372470244406443,7876,-2.24780474028724,0.024612126714608804
ER_BIN6,0.091441111923921,0.368577119446044,1367,0.05603511338697879,0.25704545578703564,6835,4.287170322506577,1.8303510283396288e-05,0.047286264960190325,0.21225079621531256,356446,7.647468441519647,2.054815694338153e-14,0.11617572371762316,0.4029571977425047,7876,-2.1207270370632205,0.033971340086357604
LOB,0.9546452084857352,0.20815722695082245,1367,0.8981711777615216,0.30244519543648446,6835,6.598136124084347,4.421946855382747e-11,0.7557750683132929,0.429627317872941,356446,17.106693844859794,1.4050938144266107e-65,0.7878364652107669,0.4088659862513561,7876,14.75546646362813,1.0145995796309987e-48
