,C0 Pred,C1 Pred,C2 Pred
C0 True,0.678796046720575,0.32120395327942497,0.0
C1 True,0.2055935733412675,0.7371318060101161,0.057274620648616485
C2 True,0.028484848484848484,0.36,0.6115151515151516
