box,X-parts,Clusters,N,iters,mean-hom,std-hom
0,2,4,32,50000,0.50866625,0.05254735232090671
1,4,16,512,6250,0.741926875,0.019040405853818478
2,5,25,1250,2000,0.7610640000000001,0.010821877101501384
3,10,100,20000,250,0.882046,0.0022722992760637827
4,12,144,41472,86,0.8939371254127189,0.001354756912991679
5,20,400,320000,15,0.9354197916666664,0.0004656615850653308
6,25,625,781250,4,0.95310624,0.0001440138659990685
7,33,1089,2371842,1,0.9620552296485179,0.0
