,C0 Pred,C1 Pred,C2 Pred,C3 Pred,C4 Pred,C5 Pred
C0 True,0.27707982592674946,0.4584352466567136,0.19815126584288936,0.06432451319843716,0.0020091483752104444,0.0
C1 True,0.0,0.48725941989699106,0.5127405801030089,0.0,0.0,0.0
C2 True,0.0,0.0,0.5354491311087541,0.4264501917271763,0.038100677164069514,0.0
C3 True,0.0,0.0,0.09765425803161652,0.8546659867414584,0.04767975522692504,0.0
C4 True,0.0,0.0,0.011227304805286456,0.4261884904086739,0.5625842047860397,0.0
C5 True,0.0,0.0,0.0,0.0901950848745883,0.6349759310869014,0.27482898403851025
