,C0 Pred,C1 Pred,C2 Pred,C3 Pred,C4 Pred,C5 Pred
C0 True,0.11267716535433071,0.4125984251968504,0.2547244094488189,0.11409448818897638,0.08086614173228346,0.02503937007874016
C1 True,0.13236313236313235,0.3776853776853777,0.43243243243243246,0.0,0.05751905751905752,0.0
C2 True,0.0,0.10276338514680483,0.2815198618307427,0.2236614853195164,0.3290155440414508,0.06303972366148532
C3 True,0.009683666881859263,0.009038089089735314,0.10200129115558425,0.3195610071013557,0.5597159457714654,0.0
C4 True,0.0,0.04061895551257253,0.14442295293359123,0.1528046421663443,0.25274016763378465,0.4094132817537073
C5 True,0.0006253908692933083,0.00375234521575985,0.039399624765478425,0.1294559099437148,0.25390869293308316,0.5728580362726704
