,C0 Pred,C1 Pred,C2 Pred,C3 Pred,C4 Pred,C5 Pred
C0 True,0.7987896740892361,0.14184062982715986,0.05605941657714238,0.00331027950646164,0.0,0.0
C1 True,0.007126458771762005,0.9860272212960179,0.006846319932220066,0.0,0.0,0.0
C2 True,0.0,0.16034128407313697,0.7444545432214007,0.09465556347081316,0.0005486092346491766,0.0
C3 True,0.0,0.0007552726280314041,0.35989692750017455,0.639347799871794,0.0,0.0
C4 True,0.0,0.0,0.10979354625858109,0.33314933952567666,0.5570571142157422,0.0
C5 True,0.0,0.0,0.002787633046122656,0.20488469336036494,0.2955587937151546,0.4967688798783578
