,C0 Pred,C1 Pred,C2 Pred,C3 Pred,C4 Pred,C5 Pred
C0 True,0.42338582677165354,0.2825196850393701,0.10748031496062992,0.11614173228346457,0.045984251968503934,0.02448818897637795
C1 True,0.09355509355509356,0.5502425502425502,0.33957033957033955,0.016632016632016633,0.0,0.0
C2 True,0.0025906735751295338,0.11139896373056994,0.26856649395509496,0.5362694300518135,0.047495682210708115,0.03367875647668394
C3 True,0.003873466752743706,0.12459651387992253,0.276307295029051,0.26985151710781147,0.32537120723047125,0.0
C4 True,0.0038684719535783366,0.03481624758220503,0.0548033526756931,0.34493874919406836,0.3829787234042553,0.17859445519019987
C5 True,0.006253908692933083,0.039399624765478425,0.056910569105691054,0.10756722951844903,0.10569105691056911,0.6841776110068793
