,C0 Pred,C1 Pred,C2 Pred,C3 Pred,C4 Pred,C5 Pred
C0 True,0.3068503937007874,0.3604724409448819,0.12574803149606298,0.1453543307086614,0.04062992125984252,0.02094488188976378
C1 True,0.04712404712404712,0.48163548163548164,0.41372141372141374,0.05751905751905752,0.0,0.0
C2 True,0.0,0.10276338514680483,0.2815198618307427,0.48791018998272884,0.06476683937823834,0.06303972366148532
C3 True,0.009683666881859263,0.010329244673983214,0.18850871530019367,0.3608779857972886,0.4306003873466753,0.0
C4 True,0.0012894906511927789,0.025145067698259187,0.05415860735009671,0.29980657640232106,0.27788523533204385,0.3417150225660864
C5 True,0.0006253908692933083,0.004377736085053158,0.03877423389618512,0.21575984990619138,0.16760475297060662,0.5728580362726704
