,C0 Pred,C1 Pred,C2 Pred,C3 Pred,C4 Pred,C5 Pred
C0 True,0.21496062992125983,0.434251968503937,0.1558267716535433,0.11456692913385827,0.06244094488188976,0.017952755905511812
C1 True,0.07345807345807345,0.5301455301455301,0.3963963963963964,0.0,0.0,0.0
C2 True,0.025043177892918825,0.07772020725388601,0.38860103626943004,0.38082901554404147,0.08549222797927461,0.04231433506044905
C3 True,0.0,0.020012911555842477,0.21885087153001936,0.3408650742414461,0.42027114267269206,0.0
C4 True,0.0,0.018052869116698903,0.10444874274661509,0.2076079948420374,0.5145067698259188,0.15538362346872986
C5 True,0.0006253908692933083,0.009380863039399626,0.03377110694183865,0.1813633520950594,0.20200125078173858,0.5728580362726704
