,C0 Pred,C1 Pred,C2 Pred,C3 Pred,C4 Pred,C5 Pred
C0 True,0.5722834645669291,0.13188976377952755,0.10937007874015749,0.07811023622047245,0.05267716535433071,0.05566929133858268
C1 True,0.437976437976438,0.15246015246015246,0.14275814275814275,0.10325710325710326,0.06860706860706861,0.09494109494109494
C2 True,0.29360967184801384,0.12607944732297063,0.14335060449050085,0.1381692573402418,0.11744386873920552,0.18134715025906736
C3 True,0.1620400258231117,0.11491284699806327,0.1484828921885087,0.1484828921885087,0.12459651387992253,0.3014848289218851
C4 True,0.10896196002578981,0.06963249516441006,0.10638297872340426,0.14764667956157318,0.14248871695680207,0.42488716956802064
C5 True,0.04878048780487805,0.056910569105691054,0.08755472170106317,0.10694183864915573,0.1282051282051282,0.5716072545340838
