,C0 Pred,C1 Pred,C2 Pred,C3 Pred,C4 Pred,C5 Pred
C0 True,0.7890076554112004,0.12517867920332898,0.06422127632540263,0.01722467520091484,0.00436771385915314,0.0
C1 True,0.09596096503117375,0.8584304689617782,0.04560856600704798,0.0,0.0,0.0
C2 True,0.016643550624133148,0.28204291425307987,0.6318022354572898,0.05825242718446602,0.011258872481031247,0.0
C3 True,0.013513513513513514,0.10447475777664457,0.3788883222845487,0.5031234064252932,0.0,0.0
C4 True,0.011740553024956695,0.050683261692436005,0.18842625264643614,0.6919227561429396,0.05722717649323154,0.0
C5 True,0.009247529769445149,0.04066379528756017,0.08120091208512795,0.1757030656194578,0.6931846972384089,0.0
