box,X-parts,Clusters,N,iters,mean-hom,std-hom
0,2,4,16,100000,0.716966875,0.08050878346636704
1,4,16,256,12500,0.691034375,0.02071655554932154
2,5,25,625,4000,0.7833336,0.014500275550485237
3,10,100,10000,500,0.9375758000000001,0.00236273450899587
4,12,144,20736,173,0.918826212713195,0.0018214497641684897
5,20,400,160000,31,0.9628108870967741,0.00038134738226785364
6,25,625,390625,9,0.9549579377777777,0.0003649496491839663
