kmeans,X-parts,Clusters,N,iters,mean-hom,std-hom
0,2,4,16,100000,0.721754375,0.07879634735099955
1,4,16,256,12500,0.7700703125,0.03564156259041849
2,5,25,625,4000,0.8164596,0.028149258744059318
3,10,100,10000,500,0.9158278,0.008315172106456969
4,12,144,20736,173,0.9229649477271106,0.004952139720494308
5,20,400,160000,31,0.9554296370967742,0.0023782379072970314
6,25,625,390625,9,0.9631024355555555,0.003121846367659552
