,C0 Pred,C1 Pred,C2 Pred,C3 Pred,C4 Pred,C5 Pred
C0 True,0.03826771653543307,0.3932283464566929,0.35141732283464566,0.20614173228346458,0.01094488188976378,0.0
C1 True,0.001386001386001386,0.7415107415107415,0.2571032571032571,0.0,0.0,0.0
C2 True,0.0,0.0,0.6407599309153713,0.3592400690846287,0.0,0.0
C3 True,0.0,0.011620400258231117,0.5616526791478373,0.4267269205939316,0.0,0.0
C4 True,0.0,0.0,0.1702127659574468,0.8091553836234687,0.020631850419084462,0.0
C5 True,0.0,0.0,0.0,0.8023764853033146,0.19762351469668543,0.0
