,test_statistic,p,-log2(p),C,RMST-6-Months,RMST-12-Months,RMST-18-Months,RMST-24-Months,Size,Weight
0,0.7911012798722064,0.37376733028165854,1.4197876213110352,0,-0.01714285714285424,-0.05806775043138046,0.0972433508670889,0.6339587610011286,35,0.025659824046920823
1,0.6622452107453392,0.4157684167521042,1.2661479247760006,1,-0.3199999999999976,-0.10959999999999859,0.5951539965497492,1.6264472773919678,20,0.01466275659824047
2,0.1625214182957179,0.6868456385114288,0.5419421902785879,2,0.044444444444445175,0.11917182862304898,0.26144682009404363,0.42596080211968257,18,0.013196480938416423
3,2.5539583107278316,0.1100183078395382,3.184184476305034,3,0.017647058823530237,-0.3128494690849557,-1.390995825172011,-2.5095835714273704,34,0.024926686217008796
4,0.38760213627977047,0.5335625212286825,0.9062707633283118,4,0.00779220779220946,0.18417312862860946,0.2545616187972577,0.4297840480477433,77,0.056451612903225805
5,1.3289101595341866,0.24899919408850324,2.0057870220173046,5,-8.881784197001252e-16,0.49794636522990565,1.2408688853559742,1.6404694085131126,41,0.030058651026392963
6,1.1850402371364304,0.27633228697970735,1.8555239567537605,6,0.0,-0.26333509898995544,-0.9932032589027457,-1.2907817813335178,15,0.010997067448680353
7,5.3113466969026435,0.02118697281286377,5.560678719094096,7,0.012244897959182488,0.05742061744736837,0.20366269606325815,0.3823974267347303,1078,0.7903225806451613
8,0.019096191981484906,0.8900910705499907,0.16797514048347725,8,-0.08000000000000096,-0.018636363636360898,0.3720951704545463,0.5833988813920428,10,0.007331378299120235
9,2.878998167034182,0.08974183943214435,3.478075434639052,9,0.23888888888888982,0.7093578543868162,1.720894104997452,2.731451630636238,36,0.026392961876832845
