kmeans,X-parts,Clusters,N,iters,mean-hom,std-hom
0,2,4,32,50000,0.67142,0.060251977457175636
1,4,16,512,6250,0.7444309375,0.032001328568916965
2,5,25,1250,2000,0.8048156,0.025721612636846854
3,10,100,20000,250,0.9164076,0.007762350303870588
4,12,144,41472,86,0.9211586298629056,0.004069541531282111
5,20,400,320000,15,0.9536362500000001,0.00173006419979626
6,25,625,781250,4,0.96427232,0.0003402445802654523
7,33,1089,2371842,1,0.9724412503025075,0.0
