,Treated,Treated,Treated,Matched Controls,Matched Controls,Matched Controls,Test-TC,Test-TC,General Population,General Population,General Population,Test-TG,Test-TG,Random,Random,Random,Test-TR,Test-TR
,mean,std,count,mean,std,count,t-stat,pval,mean,std,count,t-stat,pval,mean,std,count,t-stat,pval
AGE_AT_MIDMONTH,50.837442396313364,12.502708172646237,26040,51.30648230930609,17.664082425555087,112969,-4.057025406074904,4.972878176087259e-05,50.378854603184074,19.51403340696115,9650961,3.7901425368403427,0.00015056177453683653,50.23580816739197,19.594389597104893,113745,4.738809272935958,2.151886849091019e-06
ALLOW_AMT,782.4345622119815,3899.5801134772005,26040,735.9101523426781,3881.4349500074245,112969,1.7421532940337512,0.08148383584957887,857.8564288053801,4796.402098225472,9650961,-2.5352175683038456,0.011237766226632456,706.6092223834015,3986.044921123347,113745,2.780170154921085,0.005433768481718402
MBR_GNDR,0.18940092165898617,0.39183428719400426,26040,0.3729076118227124,0.4835799777707101,112969,-57.06925124490492,0.0,0.4330145982353467,0.49549266532377145,9650961,-79.27181952181482,0.0,0.4293815112752209,0.4949900838648635,113745,-73.16272503328487,0.0
CC_TOBACCO,0.06336405529953917,0.2436212860825567,26040,0.10160309465428569,0.30212698295013907,112969,-19.04636099373703,8.931805645892324e-81,0.1015104091706515,0.3020034030455981,9650961,-20.364827886497174,3.445911210124198e-92,0.10048793353554003,0.3006507998152222,113745,-18.578127011060584,5.983075228419034e-77
CC_PRESSURE,0.002304147465437788,0.04794712352507744,26040,0.005842310722410573,0.07621174149827335,112969,-7.171608907680039,7.448847538856223e-13,0.012810123261300092,0.11245454776783784,9650961,-15.072085841927265,2.4751684118968477e-51,0.00805310123521913,0.08937739661559808,113745,-10.053699094833103,9.014556500846356e-24
CC_OBESITY,0.5045698924731182,0.4999887161365747,26040,0.302127132222114,0.45918209309881647,112969,63.048302525759276,0.0,0.25501988869294984,0.4358724179729261,9650961,92.22509369850921,0.0,0.28556859642182075,0.4516868016991994,113745,69.14134908738936,0.0
CC_HYPERTENSION,0.32534562211981566,0.46851283631405566,26040,0.3011799697262081,0.458772774542228,112969,7.63204688183713,2.325175076649755e-14,0.32876777763375065,0.4697654190014261,9650961,-1.1739705077566873,0.24040686769044098,0.30017143610708164,0.4583343669269743,113745,7.961966961162015,1.7058510321920113e-15
CC_HYPOTHYROID,0.09508448540706606,0.293337229904202,26040,0.07332985155219574,0.26067831889931975,112969,11.848307076411048,2.2761320669363438e-32,0.07832453161918279,0.2686816086856012,9650961,10.049816349562779,9.206352108067445e-24,0.07482526704470527,0.26311034771107217,113745,10.962989930394098,5.909646068366011e-28
CC_DX_CNT,2.9178571428571427,2.2779623236483904,26040,2.648354858412485,2.277236025473535,112969,17.215004029150805,2.402016689649172e-66,2.9548724733215685,2.913004390859751,9650961,-2.048816096958738,0.04048012804373342,2.759374038419271,2.5902612607877704,113745,9.10040664653463,9.113136720469594e-20
ACUTE2,0.03195084485407066,0.18912977476661016,26040,0.04496808859067532,0.22351101692372405,112969,-8.70700631331076,3.1533179351024784e-18,0.06049604801014117,0.25841858157831415,9650961,-17.812147142808527,5.703420788517537e-71,0.04960218031561827,0.23366120084947217,113745,-11.367488466294654,6.257734459450593e-30
ACUTE6,0.09953917050691244,0.4022859175352985,26040,0.13593994812736238,0.4486144882562728,112969,-12.026337948478881,2.684060442921684e-33,0.16755844314364135,0.5056474625819558,9650961,-21.688728833323033,2.6363948601186455e-104,0.14994065673216406,0.4751320612466584,113745,-15.865405081697975,1.2329840897544233e-56
IP_BIN6,0.025,0.1688891968499679,26040,0.04002868043445547,0.2368447712649548,112969,-9.687460857873818,3.4645472150150904e-22,0.05496406005578097,0.28121536116234014,9650961,-17.185844286079025,3.3974599172640963e-66,0.04862631324453822,0.27123631116541813,113745,-13.471063660677157,2.456977296823666e-41
ER_BIN6,0.07864823348694316,0.36771931893223303,26040,0.10222273367029894,0.37898476414167453,112969,-9.099025320907256,9.230354631903813e-20,0.12247547161365588,0.42226064266417296,9650961,-16.731701848898073,7.716333147098256e-63,0.11102026462701657,0.3957463477712053,113745,-12.061672370535868,1.749099161580951e-33
LOB,0.9530337941628264,0.21157055636619318,26040,0.8316086714054298,0.374215083412801,112969,50.5323575846969,0.0,0.80208375103785,0.39842869350432997,9650961,61.11361328307024,0.0,0.8030067255703548,0.3977289466291937,113745,58.989137936252575,0.0
