,C0 Pred,C1 Pred,C2 Pred
C0 True,0.7970949386043725,0.20290506139562745,0.0
C1 True,0.1054745611425171,0.7356441535257364,0.1588812853317465
C2 True,0.0,0.08015151515151515,0.9198484848484848
