,C0 Pred,C1 Pred,C2 Pred
C0 True,0.8129679544773885,0.18703204552261157,0.0
C1 True,0.10949122285034216,0.8076465337697114,0.08286224337994645
C2 True,0.0,0.06848484848484848,0.9315151515151515
