,C0 Pred,C1 Pred,C2 Pred,C3 Pred,C4 Pred,C5 Pred
C0 True,0.6694752390330676,0.2313141259807503,0.09009402496744068,0.009116610018741464,0.0,0.0
C1 True,0.0706831119544592,0.9293168880455408,0.0,0.0,0.0,0.0
C2 True,0.0,0.2596067553234886,0.645427102879987,0.0947213836991107,0.0002447580974137228,0.0
C3 True,0.0,0.017146863844977052,0.6129525752167262,0.36990056093829676,0.0,0.0
C4 True,0.0,0.0,0.20286135882466158,0.7055238339642009,0.09161480721113749,0.0
C5 True,0.0,0.0,0.01051431466936914,0.3221434000506714,0.6466303521662021,0.020711933113757283
